variant_name,split,essay_set,n,qwk,mae,pearson,baseline_qwk,baseline_mae,baseline_pearson,delta_qwk_vs_baseline,delta_mae_vs_baseline,delta_pearson_vs_baseline
set6_gbdt_only,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.0,0.0,0.0
gbdt_selected_balanced_plus_shrinked_calibration,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.0,0.0,0.0
set6_gbdt_plus_shrinked_calibration,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.0,0.0,0.0
gbdt_manual_safe_group_plus_recommended_calibration,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.0,0.0,0.0
set6_gbdt_set8_baseline_or_calibration,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.0,0.0,0.0
val_selected_per_essay_set_model,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.7333262980160405,0.4685903787739081,0.8104524105071425,0.0,0.0,0.0
set6_gbdt_plus_shrinked_calibration,test,6,360,0.44067929662968397,0.9288277148332832,0.7070003466663469,0.368237446289547,1.0044676055202213,0.675474962189332,0.07244185034013695,-0.0756398906869381,0.03152538447701492
gbdt_manual_safe_group_plus_recommended_calibration,test,6,360,0.44067929662968397,0.9288277148332832,0.7070003466663469,0.368237446289547,1.0044676055202213,0.675474962189332,0.07244185034013695,-0.0756398906869381,0.03152538447701492
gbdt_manual_safe_group,test,6,360,0.3748258045151469,0.9719670617694286,0.711425503224003,0.368237446289547,1.0044676055202213,0.675474962189332,0.0065883582255998885,-0.0325005437507927,0.03595054103467099
set6_gbdt_only,test,6,360,0.3748258045151469,0.9719670617694286,0.711425503224003,0.368237446289547,1.0044676055202213,0.675474962189332,0.0065883582255998885,-0.0325005437507927,0.03595054103467099
set6_gbdt_set8_baseline_or_calibration,test,6,360,0.3748258045151469,0.9719670617694286,0.711425503224003,0.368237446289547,1.0044676055202213,0.675474962189332,0.0065883582255998885,-0.0325005437507927,0.03595054103467099
baseline_positive_linear,test,6,360,0.368237446289547,1.0044676055202213,0.675474962189332,0.368237446289547,1.0044676055202213,0.675474962189332,0.0,0.0,0.0
gbdt_selected_qwk_only,test,6,360,0.368237446289547,1.0044676055202213,0.675474962189332,0.368237446289547,1.0044676055202213,0.675474962189332,0.0,0.0,0.0
gbdt_selected_balanced,test,6,360,0.368237446289547,1.0044676055202213,0.675474962189332,0.368237446289547,1.0044676055202213,0.675474962189332,0.0,0.0,0.0
gbdt_selected_conservative,test,6,360,0.368237446289547,1.0044676055202213,0.675474962189332,0.368237446289547,1.0044676055202213,0.675474962189332,0.0,0.0,0.0
gbdt_selected_balanced_plus_shrinked_calibration,test,6,360,0.368237446289547,1.0044676055202213,0.675474962189332,0.368237446289547,1.0044676055202213,0.675474962189332,0.0,0.0,0.0
val_selected_per_essay_set_model,test,6,360,0.3642836078695707,0.9907757316165801,0.6933684948931511,0.368237446289547,1.0044676055202213,0.675474962189332,-0.003953838419976319,-0.013691873903641238,0.017893532703819104
gbdt_selected_qwk_only,test,7,314,0.6990107989686268,2.9573671291075674,0.7515619598624531,0.6916266373131725,2.9101789538552576,0.743273364796548,0.007384161655454302,0.04718817525230978,0.008288595065905069
gbdt_selected_balanced,test,7,314,0.6990107989686268,2.9573671291075674,0.7515619598624531,0.6916266373131725,2.9101789538552576,0.743273364796548,0.007384161655454302,0.04718817525230978,0.008288595065905069
gbdt_selected_conservative,test,7,314,0.6990107989686268,2.9573671291075674,0.7515619598624531,0.6916266373131725,2.9101789538552576,0.743273364796548,0.007384161655454302,0.04718817525230978,0.008288595065905069
gbdt_manual_safe_group,test,7,314,0.6990107989686268,2.9573671291075674,0.7515619598624531,0.6916266373131725,2.9101789538552576,0.743273364796548,0.007384161655454302,0.04718817525230978,0.008288595065905069
gbdt_selected_balanced_plus_shrinked_calibration,test,7,314,0.6990107989686268,2.9573671291075674,0.7515619598624531,0.6916266373131725,2.9101789538552576,0.743273364796548,0.007384161655454302,0.04718817525230978,0.008288595065905069
gbdt_manual_safe_group_plus_recommended_calibration,test,7,314,0.6990107989686268,2.9573671291075674,0.7515619598624531,0.6916266373131725,2.9101789538552576,0.743273364796548,0.007384161655454302,0.04718817525230978,0.008288595065905069
val_selected_per_essay_set_model,test,7,314,0.6990107989686268,2.9573671291075674,0.7515619598624531,0.6916266373131725,2.9101789538552576,0.743273364796548,0.007384161655454302,0.04718817525230978,0.008288595065905069
baseline_positive_linear,test,7,314,0.6916266373131725,2.9101789538552576,0.743273364796548,0.6916266373131725,2.9101789538552576,0.743273364796548,0.0,0.0,0.0
set6_gbdt_only,test,7,314,0.6916266373131725,2.9101789538552576,0.743273364796548,0.6916266373131725,2.9101789538552576,0.743273364796548,0.0,0.0,0.0
