variant_name,split,essay_set,n,qwk,mae,pearson
gbdt_selected_conservative,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885
gbdt_selected_conservative,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203
gbdt_selected_conservative,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235
gbdt_selected_conservative,val,5,361,0.7533723138101138,0.452642338481847,0.8179703654692981
gbdt_selected_conservative,val,6,360,0.3481081081081082,0.9754813214602519,0.6676318247382053
gbdt_selected_conservative,val,7,314,0.6888158106393663,2.9534453383573003,0.7569598542251829
gbdt_selected_conservative,val,8,145,0.4895933068275048,6.590564125473297,0.6110872319640811
gbdt_manual_safe_group,test,1,357,0.7472509437058921,0.8822949351849506,0.8039063914264274
gbdt_manual_safe_group,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906
gbdt_manual_safe_group,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802
gbdt_manual_safe_group,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987
gbdt_manual_safe_group,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425
gbdt_manual_safe_group,test,6,360,0.3748258045151469,0.9719670617694286,0.711425503224003
gbdt_manual_safe_group,test,7,314,0.6990107989686268,2.9573671291075674,0.7515619598624531
gbdt_manual_safe_group,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084
gbdt_manual_safe_group,val,1,357,0.8104856037816931,0.8101961601278166,0.8489736366997455
gbdt_manual_safe_group,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885
gbdt_manual_safe_group,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203
gbdt_manual_safe_group,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235
gbdt_manual_safe_group,val,5,361,0.7533723138101138,0.452642338481847,0.8179703654692981
gbdt_manual_safe_group,val,6,360,0.348378325888522,0.961477826156649,0.6572400978250372
gbdt_manual_safe_group,val,7,314,0.6888158106393663,2.9534453383573003,0.7569598542251829
gbdt_manual_safe_group,val,8,145,0.4895933068275048,6.590564125473297,0.6110872319640811
set6_gbdt_only,test,1,357,0.727891156462585,0.8928750001717664,0.7927641252887991
set6_gbdt_only,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906
set6_gbdt_only,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802
set6_gbdt_only,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987
set6_gbdt_only,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425
set6_gbdt_only,test,6,360,0.3748258045151469,0.9719670617694286,0.711425503224003
set6_gbdt_only,test,7,314,0.6916266373131725,2.9101789538552576,0.743273364796548
set6_gbdt_only,test,8,145,0.4139034236570367,6.069897399516125,0.5506495321462084
set6_gbdt_only,val,1,357,0.7983923823656711,0.8339458633256127,0.8448104129290456
set6_gbdt_only,val,2,360,0.6041246034035188,0.5953109174284852,0.7177787655900885
set6_gbdt_only,val,3,345,0.6320787763203985,0.4692194069208576,0.7111554184315203
set6_gbdt_only,val,4,354,0.5540093951403573,0.5690471945436656,0.7045375096486235
set6_gbdt_only,val,5,361,0.7533723138101138,0.452642338481847,0.8179703654692981
set6_gbdt_only,val,6,360,0.348378325888522,0.961477826156649,0.6572400978250372
set6_gbdt_only,val,7,314,0.6619295376254275,3.0134099135470787,0.7474418763585936
set6_gbdt_only,val,8,145,0.4895933068275048,6.590564125473297,0.6110872319640811
gbdt_selected_balanced_plus_shrinked_calibration,test,1,357,0.7472509437058921,0.8822949351849506,0.8039063914264274
gbdt_selected_balanced_plus_shrinked_calibration,test,2,360,0.5538285203097482,0.6109214247390079,0.6803321382806906
gbdt_selected_balanced_plus_shrinked_calibration,test,3,346,0.5500433484250074,0.48707097263171,0.6613274359583802
gbdt_selected_balanced_plus_shrinked_calibration,test,4,354,0.512334498329039,0.554602298712533,0.7486911172063987
gbdt_selected_balanced_plus_shrinked_calibration,test,5,361,0.7333262980160405,0.4685903787739081,0.8104524105071425
gbdt_selected_balanced_plus_shrinked_calibration,test,6,360,0.368237446289547,1.0044676055202213,0.675474962189332
gbdt_selected_balanced_plus_shrinked_calibration,test,7,314,0.6990107989686268,2.9573671291075674,0.7515619598624531
